title,link,original,sale,discount,currency,date,time
BlazBlue: Continuum Shift Extend,https://store.steampowered.com/app/294810/BlazBlue_Continuum_Shift_Extend/?snr=1_7_7_2300_150_4,21.99,3.29,85,CDN,2020-04-27,23:33
Caveblazers,https://store.steampowered.com/app/452060/Caveblazers/?snr=1_7_7_2300_150_4,10.99,2.74,75,CDN,2020-04-27,23:33
Kingdom Under Fire: The Crusaders,https://store.steampowered.com/app/1121420/Kingdom_Under_Fire_The_Crusaders/?snr=1_7_7_2300_150_4,19.99,13.99,30,CDN,2020-04-27,23:33
Neo Cab,https://store.steampowered.com/app/794540/Neo_Cab/?snr=1_7_7_2300_150_4,17.49,10.49,40,CDN,2020-04-27,23:33
Kind Words (lo fi chill beats to write to),https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to/?snr=1_7_7_2300_150_4,5.69,4.55,20,CDN,2020-04-27,23:33
Lords Of The Fallen™,https://store.steampowered.com/app/265300/Lords_Of_The_Fallen/?snr=1_7_7_2300_150_4,32.99,6.59,80,CDN,2020-04-27,23:33
V-Rally 4,https://store.steampowered.com/app/658700/VRally_4/?snr=1_7_7_2300_150_4,66.99,16.74,75,CDN,2020-04-27,23:33
Nine Parchments,https://store.steampowered.com/app/471550/Nine_Parchments/?snr=1_7_7_2300_150_4,22.79,5.69,75,CDN,2020-04-27,23:33
Biker Garage: Mechanic Simulator,https://store.steampowered.com/app/989770/Biker_Garage_Mechanic_Simulator/?snr=1_7_7_2300_150_4,28.99,17.10,41,CDN,2020-04-27,23:33
Caveblazers,https://store.steampowered.com/app/452060/Caveblazers/?snr=1_7_7_2300_150_5,10.99,2.74,75,CDN,2020-04-27,23:33
Synth Riders,https://store.steampowered.com/app/885000/Synth_Riders/?snr=1_7_7_2300_150_5,22.79,17.09,25,CDN,2020-04-27,23:33
V-Rally 4,https://store.steampowered.com/app/658700/VRally_4/?snr=1_7_7_2300_150_5,66.99,16.74,75,CDN,2020-04-27,23:33
Townsmen - A Kingdom Rebuilt,https://store.steampowered.com/app/938380/Townsmen__A_Kingdom_Rebuilt/?snr=1_7_7_2300_150_5,22.79,11.39,50,CDN,2020-04-27,23:33
노베나 디아볼로스,https://store.steampowered.com/app/1210030/_/?snr=1_7_7_2300_150_5,21.79,19.61,10,CDN,2020-04-27,23:33
Trine 3: The Artifacts of Power,https://store.steampowered.com/app/319910/Trine_3_The_Artifacts_of_Power/?snr=1_7_7_2300_150_5,23.99,5.99,75,CDN,2020-04-27,23:33
THE LONGING,https://store.steampowered.com/app/893850/THE_LONGING/?snr=1_7_7_2300_150_5,17.49,15.74,10,CDN,2020-04-27,23:33
Kind Words (lo fi chill beats to write to),https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to/?snr=1_7_7_2300_150_5,5.69,4.55,20,CDN,2020-04-27,23:33
Astellia,https://store.steampowered.com/app/1185560/Astellia/?snr=1_7_7_2300_150_5,33.99,30.59,10,CDN,2020-04-27,23:33
Telling Lies,https://store.steampowered.com/app/762830/Telling_Lies/?snr=1_7_7_2300_150_5,22.79,13.67,40,CDN,2020-04-27,23:33
King of Retail,https://store.steampowered.com/app/968250/King_of_Retail/?snr=1_7_7_2300_150_5,20.49,15.36,25,CDN,2020-04-27,23:33
The Stronghold Collection,https://store.steampowered.com/app/901735/The_Stronghold_Collection/?snr=1_7_7_2300_150_5,29.99,7.49,75,CDN,2020-04-27,23:33
Trine 2: Complete Story,https://store.steampowered.com/app/35720/Trine_2_Complete_Story/?snr=1_7_7_2300_150_5,21.99,5.49,75,CDN,2020-04-27,23:33
SHOGUN: Total War™ - Collection,https://store.steampowered.com/app/345240/SHOGUN_Total_War__Collection/?snr=1_7_7_2300_150_5,11.99,2.99,75,CDN,2020-04-27,23:33
The Red Strings Club,https://store.steampowered.com/app/589780/The_Red_Strings_Club/?snr=1_7_7_2300_150_5,17.49,8.74,50,CDN,2020-04-27,23:33
Rusty Lake Paradise,https://store.steampowered.com/app/744190/Rusty_Lake_Paradise/?snr=1_7_7_2300_150_5,4.65,2.32,50,CDN,2020-04-27,23:33
Seeds of Resilience,https://store.steampowered.com/app/877080/Seeds_of_Resilience/?snr=1_7_7_2300_150_5,15.49,7.74,50,CDN,2020-04-27,23:33
Pajama Sam 4: Life Is Rough When You Lose Your Stuff!,https://store.steampowered.com/app/292820/Pajama_Sam_4_Life_Is_Rough_When_You_Lose_Your_Stuff/?snr=1_7_7_2300_150_5,7.79,3.11,60,CDN,2020-04-27,23:33
FAR: Lone Sails,https://store.steampowered.com/app/609320/FAR_Lone_Sails/?snr=1_7_7_2300_150_5,17.49,10.49,40,CDN,2020-04-27,23:33
Beholder,https://store.steampowered.com/app/475550/Beholder/?snr=1_7_7_2300_150_5,10.99,1.64,85,CDN,2020-04-27,23:33
Egypt: Old Kingdom,https://store.steampowered.com/app/646500/Egypt_Old_Kingdom/?snr=1_7_7_2300_150_5,17.49,5.24,70,CDN,2020-04-27,23:33
Mutazione,https://store.steampowered.com/app/1080750/Mutazione/?snr=1_7_7_2300_150_5,22.79,17.09,25,CDN,2020-04-27,23:33
Medieval: Total War™ - Collection,https://store.steampowered.com/app/345260/Medieval_Total_War__Collection/?snr=1_7_7_2300_150_5,11.99,2.99,75,CDN,2020-04-27,23:33
Senren＊Banka,https://store.steampowered.com/app/1144400/SenrenBanka/?snr=1_7_7_2300_150_5,39.99,35.99,10,CDN,2020-04-27,23:33
BUILD: Ultimate Sandbox Building Game,https://store.steampowered.com/app/1077530/BUILD_Ultimate_Sandbox_Building_Game/?snr=1_7_7_2300_150_5,17.49,8.74,50,CDN,2020-04-27,23:33
Mini Healer,https://store.steampowered.com/app/955740/Mini_Healer/?snr=1_7_7_2300_150_6,8.99,7.64,15,CDN,2020-04-27,23:33
DYNASTY WARRIORS 9,https://store.steampowered.com/app/730310/DYNASTY_WARRIORS_9/?snr=1_7_7_2300_150_6,51.49,36.04,30,CDN,2020-04-27,23:33
Broken Reality,https://store.steampowered.com/app/757480/Broken_Reality/?snr=1_7_7_2300_150_6,17.49,9.61,45,CDN,2020-04-27,23:33
Still There,https://store.steampowered.com/app/1063490/Still_There/?snr=1_7_7_2300_150_6,17.49,11.36,35,CDN,2020-04-27,23:33
The Bureau: XCOM Declassified,https://store.steampowered.com/app/65930/The_Bureau_XCOM_Declassified/?snr=1_7_7_2300_150_6,21.99,4.39,80,CDN,2020-04-27,23:33
Orwell: Keeping an Eye On You,https://store.steampowered.com/app/491950/Orwell_Keeping_an_Eye_On_You/?snr=1_7_7_2300_150_6,11.49,2.87,75,CDN,2020-04-27,23:33
BUILD: Ultimate Sandbox Building Game,https://store.steampowered.com/app/1077530/BUILD_Ultimate_Sandbox_Building_Game/?snr=1_7_7_2300_150_6,17.49,8.74,50,CDN,2020-04-27,23:33
Trine Enchanted Edition,https://store.steampowered.com/app/35700/Trine_Enchanted_Edition/?snr=1_7_7_2300_150_6,16.99,4.24,75,CDN,2020-04-27,23:33
Nowhere Prophet,https://store.steampowered.com/app/681730/Nowhere_Prophet/?snr=1_7_7_2300_150_6,28.99,21.74,25,CDN,2020-04-27,23:33
Rusty Lake: Roots,https://store.steampowered.com/app/532110/Rusty_Lake_Roots/?snr=1_7_7_2300_150_6,3.29,1.64,50,CDN,2020-04-27,23:33
Coronavirus Attack,https://store.steampowered.com/app/1265000/Coronavirus_Attack/?snr=1_7_7_2300_150_6,3.39,2.23,34,CDN,2020-04-27,23:33
X-COM: Terror From the Deep,https://store.steampowered.com/app/7650/XCOM_Terror_From_the_Deep/?snr=1_7_7_2300_150_6,5.49,1.37,75,CDN,2020-04-27,23:33
Elsinore,https://store.steampowered.com/app/512890/Elsinore/?snr=1_7_7_2300_150_6,22.79,13.67,40,CDN,2020-04-27,23:33
Knights of Pen and Paper 2,https://store.steampowered.com/app/310060/Knights_of_Pen_and_Paper_2/?snr=1_7_7_2300_150_6,8.79,2.19,75,CDN,2020-04-27,23:33
Space Gladiators: Escaping Tartarus,https://store.steampowered.com/app/1144910/Space_Gladiators_Escaping_Tartarus/?snr=1_7_7_2300_150_6,11.49,10.34,10,CDN,2020-04-27,23:33
Out of Reach,https://store.steampowered.com/app/327090/Out_of_Reach/?snr=1_7_7_2300_150_6,16.99,1.69,90,CDN,2020-04-27,23:33
Mutazione,https://store.steampowered.com/app/1080750/Mutazione/?snr=1_7_7_2300_150_6,22.79,17.09,25,CDN,2020-04-27,23:33
Swords of Gurrah,https://store.steampowered.com/app/833090/Swords_of_Gurrah/?snr=1_7_7_2300_150_6,22.79,20.51,10,CDN,2020-04-27,23:33
Roah,https://store.steampowered.com/app/628320/Roah/?snr=1_7_7_2300_150_6,32.99,26.39,20,CDN,2020-04-27,23:33
The Stillness of the Wind,https://store.steampowered.com/app/828900/The_Stillness_of_the_Wind/?snr=1_7_7_2300_150_6,14.49,5.07,65,CDN,2020-04-27,23:33
Her Story,https://store.steampowered.com/app/368370/Her_Story/?snr=1_7_7_2300_150_6,11.49,5.74,50,CDN,2020-04-27,23:33
80 Days,https://store.steampowered.com/app/381780/80_Days/?snr=1_7_7_2300_150_6,14.49,7.24,50,CDN,2020-04-27,23:33
Super Seducer 2 - Advanced Seduction Tactics,https://store.steampowered.com/app/863570/Super_Seducer_2__Advanced_Seduction_Tactics/?snr=1_7_7_2300_150_6,14.49,6.95,52,CDN,2020-04-27,23:33
