title,link,original,sale,discount,currency,date,time
hacknet,https://store.steampowered.com/app/365450/Hacknet/?snr=1_7_7_2300_150_3,11.49,1.72,85,CDN,2020-04-25,14:28
swords of gurrah,https://store.steampowered.com/app/833090/Swords_of_Gurrah/?snr=1_7_7_2300_150_3,22.79,20.51,10,CDN,2020-04-25,14:28
flower,https://store.steampowered.com/app/966330/Flower/?snr=1_7_7_2300_150_3,7.99,2.79,65,CDN,2020-04-25,14:28
kentucky route zero: pc edition,https://store.steampowered.com/app/231200/Kentucky_Route_Zero_PC_Edition/?snr=1_7_7_2300_150_4,27.99,20.99,25,CDN,2020-04-25,14:28
astellia,https://store.steampowered.com/app/1185560/Astellia/?snr=1_7_7_2300_150_4,33.99,30.59,10,CDN,2020-04-25,14:28
cryofall,https://store.steampowered.com/app/829590/CryoFall/?snr=1_7_7_2300_150_4,24.99,6.24,75,CDN,2020-04-25,14:28
nowhere prophet,https://store.steampowered.com/app/681730/Nowhere_Prophet/?snr=1_7_7_2300_150_4,28.99,21.74,25,CDN,2020-04-25,14:28
mo:astray,https://store.steampowered.com/app/1104660/MOAstray/?snr=1_7_7_2300_150_4,17.49,13.99,20,CDN,2020-04-25,14:28
filament,https://store.steampowered.com/app/1137350/Filament/?snr=1_7_7_2300_150_4,19.49,16.56,15,CDN,2020-04-25,14:28
hyperdevotion noire: goddess black heart (neptunia),https://store.steampowered.com/app/415480/Hyperdevotion_Noire_Goddess_Black_Heart_Neptunia/?snr=1_7_7_2300_150_4,17.49,5.24,70,CDN,2020-04-25,14:28
abzu,https://store.steampowered.com/app/384190/ABZU/?snr=1_7_7_2300_150_4,21.99,10.99,50,CDN,2020-04-25,14:28
spongebob squarepants: battle for bikini bottom - rehydrated,https://store.steampowered.com/app/969990/SpongeBob_SquarePants_Battle_for_Bikini_Bottom__Rehydrated/?snr=1_7_7_2300_150_4,29.99,26.99,10,CDN,2020-04-25,14:28
hypnospace outlaw,https://store.steampowered.com/app/844590/Hypnospace_Outlaw/?snr=1_7_7_2300_150_4,22.79,17.09,25,CDN,2020-04-25,14:28
a short hike,https://store.steampowered.com/app/1055540/A_Short_Hike/?snr=1_7_7_2300_150_4,8.99,6.74,25,CDN,2020-04-25,14:28
nations at war digital,https://store.steampowered.com/app/1226000/Nations_At_War_Digital/?snr=1_7_7_2300_150_4,5.69,3.41,40,CDN,2020-04-25,14:28
state of mind,https://store.steampowered.com/app/437630/State_of_Mind/?snr=1_7_7_2300_150_4,44.99,6.74,85,CDN,2020-04-25,14:28
rocksmith™,https://store.steampowered.com/app/205190/Rocksmith/?snr=1_7_7_2300_150_4,29.99,8.99,70,CDN,2020-04-25,14:28
trine 2: complete story,https://store.steampowered.com/app/35720/Trine_2_Complete_Story/?snr=1_7_7_2300_150_4,21.99,5.49,75,CDN,2020-04-25,14:28
hero siege,https://store.steampowered.com/app/269210/Hero_Siege/?snr=1_7_7_2300_150_4,7.99,1.59,80,CDN,2020-04-25,14:28
red faction®: armageddon™,https://store.steampowered.com/app/55110/Red_Faction_Armageddon/?snr=1_7_7_2300_150_4,99.69,19.93,80,CDN,2020-04-25,14:28
where the water tastes like wine,https://store.steampowered.com/app/447120/Where_the_Water_Tastes_Like_Wine/?snr=1_7_7_2300_150_4,21.99,5.50,75,CDN,2020-04-25,14:28
neo cab,https://store.steampowered.com/app/794540/Neo_Cab/?snr=1_7_7_2300_150_4,17.49,10.49,40,CDN,2020-04-25,14:28
nine parchments,https://store.steampowered.com/app/471550/Nine_Parchments/?snr=1_7_7_2300_150_4,22.79,5.69,75,CDN,2020-04-25,14:28
florence,https://store.steampowered.com/app/1102130/Florence/?snr=1_7_7_2300_150_4,6.69,5.01,25,CDN,2020-04-25,14:28
